DA|abbr (US )|District Attorney||
dangerous|adj|အႏ ၱရာယ္ရွိ ေသာ။ မလံုျခံဳေသာ။ စိတ္မခ်ရေသာ။ ေၾကာက္စရာေကာင္းေသာ။||
dangerously|adv|ေၾကာက္ဖြယ္လိလိ။||
dangle|v|တြဲေလာင္းခ်သည္၊ က်သည္။  တြဲလဲဆြဲ ထားသည္။||
dangle sth before/in front of sb|phrv|မက္လံုးေပးသည္။||
Danish|n|ဒိန္းမတ္ဘာသာစကား။ ဒိန္းမတ္ႏိုင္ငံသား။||
Danish blue|n|အျပာမွ်င္ ပပ္ေသးထေနေသာ ဒိန္ခဲ။||
Danish pastry|v|သစ္သီး စသည္ပါေသာ ဌာပနာမုန္႔ခ်ဳိ။||
dank|adj|စိမ့္စိုေအးစက္ေသာ။||
dapper|adj|(လူေကာင္ေသး၍) က်စ္လ်စ္သြက္လက္ ေသာ။||
dashboard|n|ယာဥ္ေမာင္းေရွ႔ရွိ ဒိုင္ခြက္ေဘာင္။||
data|n|အခ်က္အလက္||
