speak/talk of the devil|idm|(တစ္ေယာက္ေယာက္အေၾကာင္း ေျပာေနစဥ္ ထိုသူဝင္လာေသာ အခါ ေျပာေသာစကား)။ ေဟာ လာပါၿပီ။ ေသခဲဦးမယ္။ အသက္ရွည္ဦးမယ္။||
spoor|n|ေတာ႐ိုင္းတိရစၦာန္ကိုေျခရာခံ၊အနံ႔ခံလိုက္ႏိုင္ရန္တင္က်န္ေသာေျခရာ၊အနံ႔အသက္။||
sporadic|adj|ျပတ္ေတာင္းျပတ္ေတာင္းရြာေသာ၊ေပၚေသာ၊ျဖစ္ေသာ။ ျပတ္ေတာင္းျပတ္ေတာင္း။ ထံု႔ပိုင္းထံု႔ပိုင္း။||
spore|n|မိႈစေသာအပင္မ်ားမ်ိဳးပြားမႈဖန္တီးသည့္မ်ိဳးမႈန္။||
sporran|n|စေကာ့လူမ်ိဳးတို႔၏တိုင္းရင္းဝတ္စံုတြင္ခါးပတ္ေခါင္းေအာက္တဲြလ်ားခ်ထားေသာသားေရအိတ္။||
sport|n|ကအားကစား။ ခအားကစားအမ်ိဳးအစား။ အေျပာင္အျပက္။ အားကစားပဲြ။ ကမိတ္ေဆြေကာင္း။ ခအားကစားစိတ္ဓာတ္ရွိသူ၊မရွိသူ။ ခင္မင္မႈကိုေဖာ္ျပေသာအာလုပ္စကား။ မိတ္ေဆြ။ မူကဲြျဖစ္ေသာအပင္၊တိရစၦာန္။ ဆင္ျမန္းသည္။ ေမြးထားသည္။ ေဆာ့ကစားသည္။ သြယ္လ်ၿပီးအျမန္ေမာင္းႏိုင္ေသာအေပ်ာ္စီးကားငယ္။ အမ်ားအားျဖင့္အမိုးကိုတင္ႏိုင္ခ်ႏိုင္သည္။ ေက်ာင္းအားကစားပဲြေန႔။ ဝတ္စံု၏အစိတ္အပိုင္းမဟုတ္ေသာေယာက်္ားဝတ္ကုတ္အက်ႌ။||
sporting|adj|အားကစားႏွင့္ပတ္သက္ေသာ၊လိုက္စားေသာစသည္။ သေဘာသကာယျပည့္ဝေသာ။ ျဖစ္ႏိုင္ေျခရွိေသာအခြင့္အလမ္း။ အားကစားသမားစိတ္ဓာတ္အျပည့္ျဖင့္။||
sportscast|n|အားကစားၿပိဳင္ပဲြ႐ုပ္ျမင္သံၾကား၊ေရဒီယိုမွလႊင့္ထုတ္ျခင္း။ အားကစားၿပိဳင္ပဲြအစီအစဥ္ေၾကညာသူ။||
sportsman|n|အားကစားသမားစိတ္ဓာတ္ရွိသူ။ မွ်တျခင္း၊သေဘာျပည့္ဝျခင္းစေသာအားကစားသမားပီသေသာလကၡဏာအျပဳအမူစသည္။ အားကစားသမားပီသမႈ။||
sportswear|n|အားကစားဝတ္စံု။ အားကစားအက်ႌ၊ေဘာင္းဘီ၊ဦးထုပ္စသည္||
sporty|adj|အားကစားေတာ္ေသာ၊အားကစားလိုက္စားေသာ။ အေရာင္အေသြးထူးျခား၍မ်က္စိက်စရာေကာင္းေသာအဝတ္အထည္။ ေၾကာ့ေမာ့၍အျမန္ေမာင္းႏိုင္ေသာကား။||
